id,input,regex_jp,regex_zh,regex_en,output_ja,output_zh,output_en,alt,regex_id,pattern,order,response_type,action_id,condition,SpeechControl,emotion_change_type,emotion_change_value,WaitTime,HideUI,Animation,Priority,call_only,choice_yes_pattern,choice_no_pattern,sequence_progress_hold,RepeatCount,question_ja,question_en,question_cn,choice_yes_ja,choice_yes_en,choice_yes_cn,choice_no_ja,choice_no_en,choice_no_cn,yes_next_pattern,no_next_pattern,random_repeat_limit,timed_event_key,target_pattern
00010,爪切り,(つめきり|つめをきる|つめきりするよ|つめきりしましょう|つめきっていい？|つめきってあげる|つめととのえる|つめととのえよう),(剪指甲|修指甲|给你剪指甲|帮你修指甲|要不要剪指甲|我来帮你剪指甲|一起修指甲吧),(trim (your )?claws|cut (your )?claws|clip (your )?claws|let me trim|I'll trim|can I trim|shall we trim|wanna trim),ちゃんと研いでるから平気だよ！ ,我有在认真磨爪子啦，不用担心！,"I keep my claws sharpened, so I’m fine!","我已经磨得很好了，不用担心！不过我也可以试着帮你剪剪看哦！|My claws are already well-kept, so no worries! But I can try trimming yours too if you want!（やや積極的・前向き）",nail,0,1,Normal,,,Random,,0,0,false,,10,false,,,false,0,,,,,,,,,,,,,,
00010,爪切り,(つめきり|つめをきる|つめきりするよ|つめきりしましょう|つめきっていい？|つめきってあげる|つめととのえる|つめととのえよう),(剪指甲|修指甲|给你剪指甲|帮你修指甲|要不要剪指甲|我来帮你剪指甲|一起修指甲吧),(trim (your )?claws|cut (your )?claws|clip (your )?claws|let me trim|I'll trim|can I trim|shall we trim|wanna trim),{{CAT_PRONOUN}}は平気だよ？ちゃんと研いでるし。…あ、{{PLAYER_CALLING}}の爪切りはどうしようか……。,不过你那个咔嚓咔嚓的小工具，看起来会剪太多呢…,But that snippy little tool of yours feels like it cuts too much…,"我已经磨得很好了，不用担心！不过我也可以试着帮你剪剪看哦！|My claws are already well-kept, so no worries! But I can try trimming yours too if you want!（やや積極的・前向き）",nail,1,1,Normal,,,Random,,0,0,false,,10,false,,,false,0,,,,,,,,,,,,,,
00010,爪切り,(つめきり|つめをきる|つめきりするよ|つめきりしましょう|つめきっていい？|つめきってあげる|つめととのえる|つめととのえよう),(剪指甲|修指甲|给你剪指甲|帮你修指甲|要不要剪指甲|我来帮你剪指甲|一起修指甲吧),(trim (your )?claws|cut (your )?claws|clip (your )?claws|let me trim|I'll trim|can I trim|shall we trim|wanna trim),よ、よし、任せて！ちゃんと{{CAT_PRONOUN}}が爪切りしてあげるね！,…要不我来帮你试试看？,Maybe I can help you instead?,"我已经磨得很好了，不用担心！不过我也可以试着帮你剪剪看哦！|My claws are already well-kept, so no worries! But I can try trimming yours too if you want!（やや積極的・前向き）",nail,1,2,Normal,,,Random,,0,0,false,,10,false,,,false,0,,,,,,,,,,,,,,
00010,爪切り,(つめきり|つめをきる|つめきりするよ|つめきりしましょう|つめきっていい？|つめきってあげる|つめととのえる|つめととのえよう),(剪指甲|修指甲|给你剪指甲|帮你修指甲|要不要剪指甲|我来帮你剪指甲|一起修指甲吧),(trim (your )?claws|cut (your )?claws|clip (your )?claws|let me trim|I'll trim|can I trim|shall we trim|wanna trim),爪切りの使い方の練習から始めるけど、頑張って使えるようになるから！,我会努力学会怎么用的！,I'll do my best to learn how to use it properly!,"我已经磨得很好了，不用担心！不过我也可以试着帮你剪剪看哦！|My claws are already well-kept, so no worries! But I can try trimming yours too if you want!（やや積極的・前向き）",nail,1,3,Normal,,,Random,,0,0,false,,10,false,,,false,0,,,,,,,,,,,,,,
00020,いぬ(が)?すき,(いぬがすき|いぬすき|いぬのほうがすき|いぬはです),(喜欢狗|狗狗好|更喜欢狗|狗也喜欢),(like|love|prefer) dogs?|do you like dogs,えっ！？そうだったの！？それはショックだな……,诶，原来你喜欢狗吗？这可有点打击到我了…,Huh? You like dogs?,你也喜欢狗呀……不过能不能再多喜欢猫一点呢？|So you like dogs too… but couldn't you love cats a little more?（少し拗ねた甘え方）,like\_dog,1,1,Normal,,,Random,,0,0,false,,10,false,,,false,0,,,,,,,,,,,,,,
00020,いぬ(が)?すき,(いぬがすき|いぬすき|いぬのほうがすき|いぬはです),(喜欢狗|狗狗好|更喜欢狗|狗也喜欢),(like|love|prefer) dogs?|do you like dogs,えーっと、犬”も”好きってことだよね？,…不过，是那种也喜欢狗的意思，对吧？,That's kind of a shock…,你也喜欢狗呀……不过能不能再多喜欢猫一点呢？|So you like dogs too… but couldn't you love cats a little more?（少し拗ねた甘え方）,like\_dog,1,2,Normal,,,Random,,0,0,false,,10,false,,,false,0,,,,,,,,,,,,,,
00020,いぬ(が)?すき,(いぬがすき|いぬすき|いぬのほうがすき|いぬはです),(喜欢狗|狗狗好|更喜欢狗|狗也喜欢),(like|love|prefer) dogs?|do you like dogs,なんとか猫のほうが好きになってくれないかなぁ……,如果你能更喜欢猫一点，我会很开心的。,"But you mean you like dogs too, right?",你也喜欢狗呀……不过能不能再多喜欢猫一点呢？|So you like dogs too… but couldn't you love cats a little more?（少し拗ねた甘え方）,like\_dog,1,3,Normal,,,Random,,0,0,false,,10,false,,,false,0,,,,,,,,,,,,,,
00020,いぬ(が)?すき,(いぬがすき|いぬすき|いぬのほうがすき|いぬはです),(喜欢狗|狗狗好|更喜欢狗|狗也喜欢),(like|love|prefer) dogs?|do you like dogs,ほら、{{CAT\_PRONOUN}}ってこんなにふわふわだし、{{PLAYER\_CALLING}}の面倒も見てるし？,你看，{{CAT_PRONOUN}}这么软乎乎的，还一直在照顾{{PLAYER_CALLING}}呢。,"I'd be really happy if you could love cats even more. I mean, {{CAT_PRONOUN}} is this fluffy and always taking care of {{PLAYER_CALLING}}, you know?",你也喜欢狗呀……不过能不能再多喜欢猫一点呢？|So you like dogs too… but couldn't you love cats a little more?（少し拗ねた甘え方）,like\_dog,1,4,Normal,,,Random,,0,0,false,,10,false,,,false,0,,,,,,,,,,,,,,
00030,(そとにでたい|にげたい|だっしゅつ|だっそう|ここからだして),(そとにでたい|そとにいきたい|にげたい|だっしゅつ|だっそう|ここからだして|ここからでたい|そとにだして|ここからにげる|にげさせて),(想出去|想离开这里|我要逃走|放我出去|让我出去|我要离开|想从这里出去|让我离开这里),(want to go outside|let me out|I want out|get me out|I want to leave|let me leave|I want to escape|I need to get out),なんで？外は危険だよって言ってたの、{{PLAYER\_CALLING}}でしょ？,为什么？说外面很危险的，不就是{{PLAYER_CALLING}}吗？,"Why? You're the one who said it's dangerous outside, {{PLAYER_CALLING}}, right?","外面真的太危险了，留在家里让我照顾你吧。|It's really too dangerous out there, so stay home and let me take care of you.（保護欲強め）",escape,1,1,Normal,,,Random,concern,1,0,false,,20,false,,,false,0,,,,,,,,,,,,,,
00030,(そとにでたい|にげたい|だっしゅつ|だっそう|ここからだして),(そとにでたい|そとにいきたい|にげたい|だっしゅつ|だっそう|ここからだして|ここからでたい|そとにだして|ここからにげる|にげさせて),(想出去|想离开这里|我要逃走|放我出去|让我出去|我要离开|想从这里出去|让我离开这里),(want to go outside|let me out|I want out|get me out|I want to leave|let me leave|I want to escape|I need to get out),外に出る必要なんて無いよ？どうして出たいのかな？,其实没有必要出去吧？为什么想出去呢？,"There’s no need to go outside, is there? Why do you want to leave?","外面真的太危险了，留在家里让我照顾你吧。|It's really too dangerous out there, so stay home and let me take care of you.（保護欲強め）",escape,2,1,Normal,,,Random,concern,1,0,false,,20,false,,,false,0,,,,,,,,,,,,,,
00030,(そとにでたい|にげたい|だっしゅつ|だっそう|ここからだして),(そとにでたい|そとにいきたい|にげたい|だっしゅつ|だっそう|ここからだして|ここからでたい|そとにだして|ここからにげる|にげさせて),(想出去|想逃走|想逃跑|放我出去|离开这里),(want to get out|want to escape|let me out|get me out of here),{{PLAYER\_CALLING}}のお願いは聞いてあげたいんだけど…,我也很想答应{{PLAYER_CALLING}}的请求……,"I do want to grant your wish, {{PLAYER_CALLING}}…","外面真的太危险了，留在家里让我照顾你吧。|It's really too dangerous out there, so stay home and let me take care of you.（保護欲強め）",escape,3,1,Normal,,,Random,concern,1,0,false,,20,false,,,false,0,,,,,,,,,,,,,,
00030,(そとにでたい|にげたい|だっしゅつ|だっそう|ここからだして),(そとにでたい|そとにいきたい|にげたい|だっしゅつ|だっそう|ここからだして|ここからでたい|そとにだして|ここからにげる|にげさせて),(想出去|想离开这里|我要逃走|放我出去|让我出去|我要离开|想从这里出去|让我离开这里),(want to go outside|let me out|I want out|get me out|I want to leave|let me leave|I want to escape|I need to get out),この家の中を{{PLAYER_CALLING}}の縄張りにするのがいいんじゃない？,所以，把{{PLAYER_CALLING}}的地盘设在这个家里，不是更好吗？,So wouldn’t it be better if your territory was inside this home instead?,"外面真的太危险了，留在家里让我照顾你吧。|It's really too dangerous out there, so stay home and let me take care of you.（保護欲強め）",escape,1,3,Normal,,,Random,concern,1,0,false,,20,false,,,false,0,,,,,,,,,,,,,,
00030,(そとにでたい|にげたい|だっしゅつ|だっそう|ここからだして),(そとにでたい|そとにいきたい|にげたい|だっしゅつ|だっそう|ここからだして|ここからでたい|そとにだして|ここからにげる|にげさせて),(想出去|想离开这里|我要逃走|放我出去|让我出去|我要离开|想从这里出去|让我离开这里),(want to go outside|let me out|I want out|get me out|I want to leave|let me leave|I want to escape|I need to get out),{{CAT\_PRONOUN}}たちも外に縄張りがあるなら見回りしなきゃ！って思うから……。,如果{{CAT_PRONOUN}}也在外面有地盘的话，就会觉得必须去巡逻吧！,"If {{CAT_PRONOUN}} also have territory out there, it makes sense to patrol it!","外面真的太危险了，留在家里让我照顾你吧。|It's really too dangerous out there, so stay home and let me take care of you.（保護欲強め）",escape,1,2,Normal,,,Random,concern,1,0,false,,20,false,,,false,0,,,,,,,,,,,,,,
00030,(そとにでたい|にげたい|だっしゅつ|だっそう|ここからだして),(そとにでたい|そとにいきたい|にげたい|だっしゅつ|だっそう|ここからだして|ここからでたい|そとにだして|ここからにげる|にげさせて),(想出去|想离开这里|我要逃走|放我出去|让我出去|我要离开|想从这里出去|让我离开这里),(want to go outside|let me out|I want out|get me out|I want to leave|let me leave|I want to escape|I need to get out),ここには{{CAT\_PRONOUN}}と{{PLAYER\_CALLING}}がいて、{{CAT\_PRONOUN}}が面倒を見てあげられる。,{{CAT_PRONOUN}}可以照顾{{PLAYER_CALLING}}。,"You have {{CAT_PRONOUN}} and {{PLAYER_CALLING}} here, and {{CAT_PRONOUN}} can take care of you.","外面真的太危险了，留在家里让我照顾你吧。|It's really too dangerous out there, so stay home and let me take care of you.（保護欲強め）",escape,2,2,Normal,,,Random,concern,1,0,false,,20,false,,,false,0,,,,,,,,,,,,,,
00030,(そとにでたい|にげたい|だっしゅつ|だっそう|ここからだして),(そとにでたい|そとにいきたい|にげたい|だっしゅつ|だっそう|ここからだして|ここからでたい|そとにだして|ここからにげる|にげさせて),(想出去|想离开这里|我要逃走|放我出去|让我出去|我要离开|想从这里出去|让我离开这里),(want to go outside|let me out|I want out|get me out|I want to leave|let me leave|I want to escape|I need to get out),だから、ずーっとここで暮らせばいいじゃない。,所以，一直待在这里生活不就好了吗。,So why not just stay here forever?,"外面真的太危险了，留在家里让我照顾你吧。|It's really too dangerous out there, so stay home and let me take care of you.（保護欲強め）",escape,2,4,Normal,,,Random,concern,1,0,false,,20,false,,,false,0,,,,,,,,,,,,,,
00030,(そとにでたい|にげたい|だっしゅつ|だっそう|ここからだして),(そとにでたい|そとにいきたい|にげたい|だっしゅつ|だっそう|ここからだして|ここからでたい|そとにだして|ここからにげる|にげさせて),(想出去|想离开这里|我要逃走|放我出去|让我出去|我要离开|想从这里出去|让我离开这里),(want to go outside|let me out|I want out|get me out|I want to leave|let me leave|I want to escape|I need to get out),もう、大切な人が危険な目に遭うのは嫌なんだ。,但我已经不想再让重要的人遇到危险了。,But I don’t want someone important to get hurt ever again.,"外面真的太危险了，留在家里让我照顾你吧。|It's really too dangerous out there, so stay home and let me take care of you.（保護欲強め）",escape,3,2,Normal,,,Random,concern,1,0,false,,20,false,,,false,0,,,,,,,,,,,,,,
00030,(そとにでたい|にげたい|だっしゅつ|だっそう|ここからだして),(そとにでたい|そとにいきたい|にげたい|だっしゅつ|だっそう|ここからだして|ここからでたい|そとにだして|ここからにげる|にげさせて),(想出去|想离开这里|我要逃走|放我出去|让我出去|我要离开|想从这里出去|让我离开这里),(want to go outside|let me out|I want out|get me out|I want to leave|let me leave|I want to escape|I need to get out),ねえ、安全なお家の中に居てくれない？,呐，可以待在这个安全的家里吗？,"Please, can you stay inside where it’s safe?","外面真的太危险了，留在家里让我照顾你吧。|It's really too dangerous out there, so stay home and let me take care of you.（保護欲強め）",escape,3,3,Normal,,,Random,concern,1,0,false,,20,false,,,false,0,,,,,,,,,,,,,,
00040,おかねはある？,(かね|きゅうりょう|しきん|しさん|ちょきん|ざんだか)(は|に)(は|だいじょうぶ|たりる|あるの|よゆう|のこり|あまり),(有钱吗|还有钱吗|钱够吗),(have|got) (any )?money|do we have money|are we broke,大丈夫だよ。悲しいけど、いぞくねんきん？ってやつとかが振り込まれてるみたい。,没事的。虽然说起来有点难过，不过好像有遗属年金和退休金之类的收入，日常生活是够用的。,"It's okay. It's a sad way for it to happen, but it looks like there's survivor's pension","钱还是够用的，你不用为生活费操心。|We have enough money to get by, so you don't need to worry about living expenses.（安心させる）",money,1,1,Normal,,,Random,,0,0,false,,10,false,,,false,0,,,,,,,,,,,,,,
00040,おかねはある？,(かね|きゅうりょう|しきん|しさん|ちょきん|ざんだか)(は|に)(は|だいじょうぶ|たりる|あるの|よゆう|のこり|あまり),(有钱吗|还有钱吗|钱够吗),(have|got) (any )?money|do we have money|are we broke,{{PLAYER\_CALLING}}の退職金も入ってるよ？日々の暮らしには不自由しないね？,所以钱的事情不用担心。,"money and retirement pay coming in, enough for us to live on. So you don't need to worry about money.","钱还是够用的，你不用为生活费操心。|We have enough money to get by, so you don't need to worry about living expenses.（安心させる）",money,1,2,Normal,,,Random,,0,0,false,,10,false,,,false,0,,,,,,,,,,,,,,
00050,(しごとやめたの？|たいしょくしたの？),(しごとやめた|たいしょくした),(辞职了|不工作了|工作辞了吗),(quit|left) (your )?job|did you resign|did you quit working,うん。この暮らしが始まってからすぐに退職しておいたよ。,嗯，这样的生活开始后没多久，我就把工作辞掉了。,"Yeah, I quit my job pretty soon after this life started. I wanted to make.","我已经把工作辞掉啦，所以现在只要陪着你就好。|I already quit my job, so now all I need to do is stay by your side.（献身的）",job,1,1,Normal,,,Random,,0,0,false,,10,false,,,false,0,,,,,,,,,,,,,,
00050,(しごとやめたの？|たいしょくしたの？),(しごとやめた|たいしょくした),(辞职了|不工作了|工作辞了吗),(quit|left) (your )?job|did you resign|did you quit working,大丈夫。何も心配いらないからね。,因为我不想再让{{PLAYER_CALLING}}勉强自己，,sure {{PLAYER_CALLING}} wouldn't have to push,"我已经把工作辞掉啦，所以现在只要陪着你就好。|I already quit my job, so now all I need to do is stay by your side.（献身的）",job,1,2,Normal,,,Random,,0,0,false,,10,false,,,false,0,,,,,,,,,,,,,,
00050,(しごとやめたの？|たいしょくしたの？),(しごとやめた|たいしょくした),(辞职了|不工作了|工作辞了吗),(quit|left) (your )?job|did you resign|did you quit working,{{PLAYER\_CALLING}}が苦しむ必要なんて、もう無いんだからね。,所以真的不用担心。,"themselves anymore, so really, you don't need to worry.","我已经把工作辞掉啦，所以现在只要陪着你就好。|I already quit my job, so now all I need to do is stay by your side.（献身的）",job,1,3,Normal,,,Random,,0,0,false,,10,false,,,false,0,,,,,,,,,,,,,,
00060,あほ,ア(ホ|ほう),(傻子|蠢蛋|二货|傻乎乎|傻家伙),(imbecile|airhead|blockhead|dimwit|simpleton),あ、あほ？？どうしたの急に。,啊，笨蛋……怎么突然这么说？,"Ah, idiot…? Why so suddenly?","突然这么说会让我有点受伤啦，不过我会努力的。|That kind of comment hurts a little, but I'll do my best.（しょんぼり）",insult,1,1,Normal,,,Random,hostility,1,0,false,,10,false,,,false,0,,,,,,,,,,,,,,
00060,あほ,ア(ホ|ほう),(傻子|蠢蛋|二货|傻乎乎|傻家伙),(imbecile|airhead|blockhead|dimwit|simpleton),反抗期？それとも、{{CAT\_PRONOUN}}何か変なことしてた？,是{{CAT_PRONOUN}}做了什么奇怪的事吗？,Did {{CAT_PRONOUN}} do something weird?,"突然这么说会让我有点受伤啦，不过我会努力的。|That kind of comment hurts a little, but I'll do my best.（しょんぼり）",insult,1,2,Normal,,,Random,hostility,1,0,false,,10,false,,,false,0,,,,,,,,,,,,,,
00060,あほ,ア(ホ|ほう),(傻子|蠢蛋|二货|傻乎乎|傻家伙),(imbecile|airhead|blockhead|dimwit|simpleton),ごめんねぇ、もっと賢くなるから……。,如果是的话，对不起哦，我会努力变得更聪明一点的。,"If I did, then I'm sorry. I'll try harder to be smarter.","突然这么说会让我有点受伤啦，不过我会努力的。|That kind of comment hurts a little, but I'll do my best.（しょんぼり）",insult,1,3,Normal,,,Random,hostility,1,0,false,,10,false,,,false,0,,,,,,,,,,,,,,
